"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"時"	"shí"	"1"	"surname Shi"	"o'clock, time, when, hour, season, period"	"時候 (shíhòu)"
"候"	"hou4"	"1"	"to wait"	"to inquire after, to watch, season, climate, (old) period of five days"	"時候 (shíhòu)"
"時候"	"shíhòu"	"1"	"time"	"length of time, moment, period"	""
"百"	"bǎi"	"1"	"surname Bai"	"hundred, numerous, all kinds of"	""
"半"	"bàn"	"1"	"half"	"semi-, incomplete, (after a number) and a half"	""
"爸"	"ba4"	"1"	"father"	"dad, pa, papa"	"爸爸 (bàba)"
"爸爸"	"bàba"	"1"	"(informal) father"	"CL:個|个[ge4],位[wei4]"	""
"媽"	"ma1"	"1"	"ma"	"mom, mother"	"媽媽 (māma)"
"媽媽"	"māma"	"1"	"mama"	"mommy, mother, CL:個|个[ge4],位[wei4]"	""
"哥"	"ge1"	"1"	"elder brother"	""	"哥哥 (gēge)"
"哥哥"	"gēge"	"1"	"older brother"	"CL:個|个[ge4],位[wei4]"	""
"弟"	"di4 ti4"	"1"	"younger brother"	"junior male, I (modest word in letter), variant of 悌[ti4]"	"弟弟 (dìdi)"
"弟弟"	"dìdi"	"1"	"younger brother"	"CL:個|个[ge4],位[wei4]"	""
"姊"	"zi3"	"1"	"old variant of 姊[zi3]"	"older sister, Taiwan pr. [jie3]"	"姊姊 (jiějie)"
"姊姊"	"jiějie"	"1"	"older sister"	"Taiwan pr. [jie3 jie5]"	""
"妹"	"mei4"	"1"	"younger sister"	""	"妹妹 (mèimei)"
"妹妹"	"mèimei"	"1"	"younger sister"	"young woman, CL:個|个[ge4]"	""
"的"	"de"	"1"	"of"	"~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), see 的士[di1 shi4], really and truly, aim, clear"	""
"第"	"dì"	"1"	"(prefix indicating ordinal number, e.g. first, number two etc)"	"order, (old) rank in the imperial examinations, mansion, (literary) but, just"	""
"分"	"fēn"	"1"	"to divide"	"to separate, to distribute, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money), part, share, ingredient, component"	""
"點"	"diǎn"	"1"	"point"	"dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items"	""
"個"	"ge"	"1"	"individual"	"this, that, size, classifier for people or objects in general"	""
"歲"	"suì"	"1"	"classifier for years (of age)"	"year, year (of crop harvests)"	""
"住"	"zhù"	"1"	"to live"	"to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)"	""
"來"	"lái"	"1"	"to come"	"to arrive, to come round, ever since, next"	""
"是"	"shì"	"1"	"variant of 是[shi4]"	"(used in given names)"	""
"姓"	"xìng"	"1"	"family name"	"surname, CL:個|个[ge4], to be surnamed"	""
"覺"	"jiao4 jue2"	"1"	"a nap"	"a sleep, CL:場|场[chang2], to feel, to find that, thinking, awake, aware"	"覺得 (juéde)"
"得"	"děi"	"1"	"to obtain"	"to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finished, structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc, to have to, must, ought to, to need to"	"覺得 (juéde)"
"覺得"	"juéde"	"1"	"to think"	"to feel"	""
"喜"	"xi3"	"1"	"to be fond of"	"to like, to enjoy, to be happy, to feel pleased, happiness, delight, glad"	"喜歡 (xǐhuān)"
"歡"	"huan1"	"1"	"joyous"	"happy, pleased"	"喜歡 (xǐhuān)"
"喜歡"	"xǐhuān"	"1"	"to like"	"to be fond of"	""
"打"	"dă"	"1"	"dozen (loanword)"	"to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from"	"打電話 (dǎdiànhuà)"
"打電話"	"dǎdiànhuà"	"1"	"to make a telephone call"	""	""
"高"	"gāo"	"1"	"surname Gao"	"high, tall, above average, loud, your (honorific)"	"高興 (gāoxìng)"
"興"	"xing1 xing4"	"1"	"surname Xing"	"to rise, to flourish, to become popular, to start, to encourage, to get up, (often used in the negative) to permit or allow (dialect), maybe (dialect), feeling or desire to do sth, interest in sth, excitement"	"高興 (gāoxìng)"
"高興"	"gāoxìng"	"1"	"happy"	"glad, willing (to do sth), in a cheerful mood"	""
"漂"	"piao1 piao3 piao4"	"1"	"to float"	"to drift, to bleach, elegant, polished"	"漂亮 (piàoliàng)"
"亮"	"liàng"	"1"	"bright"	"clear, resonant, to shine, to show, to reveal"	"漂亮 (piàoliàng)"
"漂亮"	"piàoliàng"	"1"	"pretty"	"beautiful"	""
"好"	"hǎo"	"1"	"good"	"well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to"	""
"很"	"hěn"	"1"	"(adverb of degree)"	"quite, very, awfully"	""
"真"	"zhēn"	"1"	"really"	"truly, indeed, real, true, genuine"	""
"腦"	"năo"	"1"	"brain"	"mind, head, essence"	"電腦 (diànnǎo)"
"電腦"	"diànnǎo"	"1"	"computer"	"CL:臺|台[tai2]"	""
"老"	"lăo"	"1"	"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity"	"old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough"	"老師 (lǎoshī)"
"師"	"shi1"	"1"	"surname Shi"	"teacher, master, expert, model, army division, (old) troops, to dispatch troops"	"老師 (lǎoshī)"
"老師"	"lǎoshī"	"1"	"teacher"	"CL:個|个[ge4],位[wei4]"	""
"買"	"mǎi"	"1"	"to buy"	"to purchase"	""
"忙"	"máng"	"1"	"busy"	"hurriedly, to hurry, to rush"	""
"學"	"xué"	"1"	"to learn"	"to study, to imitate, science, -ology"	"學生 (xuéshēng)"
"生"	"shēng"	"1"	"to be born"	"to give birth, life, to grow, raw, uncooked, student"	"學生 (xuéshēng)"
"學生"	"xuéshēng"	"1"	"student"	"schoolchild"	""
"大"	"dà"	"1"	"big"	"huge, large, major, great, wide, deep, older (than), oldest, eldest, greatly, very much, (dialect) father, father's elder or younger brother, see 大夫[dai4 fu5]"	"大學 (dàxué)"
"大學"	"dàxué"	"1"	"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism"	"university, college, CL:所[suo3]"	""
"校"	"jiao4 xiao4"	"1"	"to proofread"	"to check, to compare, school, military officer, CL:所[suo3]"	"學校 (xuéxiào)"
"學校"	"xuéxiào"	"1"	"school"	"CL:所[suo3]"	""
"筆"	"bǐ"	"1"	"pen"	"pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]"	""
"問"	"wèn"	"1"	"to ask"	""	""
"說"	"shuō"	"1"	"to persuade"	"to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)"	""
"寫"	"xiě"	"1"	"to write"	""	""
"聽"	"tīng"	"1"	"to listen"	"to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages, (literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow"	""
"練"	"liàn"	"1"	"to practice"	"to train, to drill, to perfect (one's skill), exercise"	"練習 (liànxí)"
"習"	"xi2"	"1"	"surname Xi"	"to practice, to study, habit"	"練習 (liànxí)"
"練習"	"liànxí"	"1"	"to practice"	"exercise, drill, practice, CL:個|个[ge4]"	""
"能"	"néng"	"1"	"surname Neng"	"can, to be able to, might possibly, ability, (physics) energy"	""
"可"	"kě"	"1"	"can"	"may, able to, to approve, to permit, to suit, (particle used for emphasis) certainly, very, see 可汗[ke4 han2]"	"可以 (kěyǐ)"
"以"	"yĭ"	"1"	"old variant of 以[yi3]"	"abbr. for Israel 以色列[Yi3 se4 lie4], to use, by means of, according to, in order to, because of, at (a certain date or place)"	"可以 (kěyǐ)"
"可以"	"kěyǐ"	"1"	"can"	"may, possible, able to, not bad, pretty good"	""
"課"	"kè"	"1"	"subject"	"course, CL:門|门[men2], class, lesson, CL:堂[tang2],節|节[jie2], to levy, tax, form of divination"	"上課 (shàngkè)"
"上課"	"shàngkè"	"1"	"to go to class"	"to attend class, to go to teach a class"	""
"知"	"zhī"	"1"	"to know"	"to be aware"	"知道 (zhīdào)"
"道"	"dào"	"1"	"road"	"path, CL:條|条[tiao2],股[gu3], principle, truth, morality, reason, skill, method, Dao (of Daoism), to say, to speak, to talk, classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process, (old) administrative division (similar to province in Tang times)"	"知道 (zhīdào)"
"知道"	"zhīdào"	"1"	"to know"	"to become aware of, also pr. [zhi1 dao5]"	""
"視"	"shì"	"1"	"to look at"	"to regard, to inspect"	"電視 (diànshì)"
"電視"	"diànshì"	"1"	"television"	"TV, CL:臺|台[tai2],個|个[ge4]"	""
"水"	"shuǐ"	"1"	"surname Shui"	"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes"	""
"再"	"zài"	"1"	"again"	"once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"	""
"書"	"shū"	"1"	"abbr. for 書經|书经[Shu1 jing1]"	"book, letter, document, CL:本[ben3],冊|册[ce4],部[bu4], to write"	""
"影"	"ying3"	"1"	"picture"	"image, film, movie, photograph, reflection, shadow, trace"	"電影 (diànyǐng)"
"電影"	"diànyǐng"	"1"	"movie"	"film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"	""
"前"	"qián"	"1"	"front"	"forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly"	"以前 (yǐqián)"
"以前"	"yǐqián"	"1"	"before"	"formerly, previous, ago"	""
"後"	"hòu"	"1"	"back"	"behind, rear, afterwards, after, later"	"以後 (yǐhòu)"
"以後"	"yǐhòu"	"1"	"after"	"later, afterwards, following, later on, in the future"	""
"走"	"zǒu"	"1"	"to walk"	"to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)"	""
"等"	"děng"	"1"	"class"	"rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once"	""
"看"	"kàn"	"1"	"to look after"	"to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)"	""
"什"	"shen2 shi2"	"1"	"what"	"ten (used in fractions, writing checks etc), assorted, miscellaneous"	"什麼 (shénme)"
"麼"	"ma2 ma5 me5 mo2"	"1"	"exclamatory final particle"	"interrogative final particle, suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc, tiny, insignificant, variant of 麼|么[me5]"	"什麼 (shénme)"
"什麼"	"shénme"	"1"	"what?"	"something, anything"	""
"朋"	"peng2"	"1"	"friend"	""	"朋友 (péngyǒu)"
"友"	"you3"	"1"	"friend"	""	"朋友 (péngyǒu)"
"朋友"	"péngyǒu"	"1"	"friend"	"CL:個|个[ge4],位[wei4]"	""
"東"	"dōng"	"1"	"surname Dong"	"east, host (i.e. sitting on east side of guest), landlord"	"東西 (dōngxi)"
"西"	"xī"	"1"	"the West"	"abbr. for Spain 西班牙[Xi1 ban1 ya2], Spanish, west"	"東西 (dōngxi)"
"東西"	"dōngxi"	"1"	"east and west"	"thing, stuff, person, CL:個|个[ge4],件[jian4]"	""
"吧"	"ba"	"1"	"bar (loanword) (serving drinks, or providing Internet access etc)"	"to puff (on a pipe etc), (onom.) bang, abbr. for 貼吧|贴吧[tie1 ba1], (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume., (onom.) smack!"	""
"呢"	"ne"	"1"	"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")"	"particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation, woolen material"	""
"嗎"	"ma"	"1"	"see 嗎啡|吗啡, morphine"	"(question particle for ""yes-no"" questions)"	""
"找"	"zhǎo"	"1"	"to try to find"	"to look for, to call on sb, to find, to seek, to return, to give change"	""
"做"	"zuò"	"1"	"to do"	"to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance"	""
"見"	"jiàn"	"1"	"to see"	"to meet, to appear (to be sth), to interview, to appear, also written 現|现[xian4]"	"再見 (zàijiàn)"
"再見"	"zàijiàn"	"1"	"goodbye"	"see you again later"	""
"怎"	"zěn"	"1"	"how"	""	"怎麼樣 (zěnmeyàng)"
"樣"	"yàng"	"1"	"manner"	"pattern, way, appearance, shape, classifier: kind, type"	"怎麼樣 (zěnmeyàng)"
"怎麼樣"	"zěnmeyàng"	"1"	"how?"	"how about?, how was it?, how are things?"	""
"叫"	"jiào"	"1"	"variant of 叫[jiao4]"	""	""
"謝"	"xiè"	"1"	"surname Xie"	"to thank, to apologize, to wither (of flowers, leaves etc), to decline"	"謝謝 (xièxie)"
"謝謝"	"xièxie"	"1"	"to thank"	"thanks, thank you"	""
"對"	"duì"	"1"	"right"	"correct, couple, pair, towards, at, for, to face, opposite, to treat (sb a certain way), to match together, to adjust, to fit, to suit, to answer, to reply, classifier: couple"	"對不起 (duìbuqǐ)"
"不"	"bù"	"1"	"(negative prefix)"	"not, no"	"對不起 (duìbuqǐ)"
"起"	"qĭ"	"1"	"to rise"	"to raise, to get up, to set out, to start, to appear, to launch, to initiate (action), to draft, to establish, to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance, classifier for groups: batch, group"	"對不起 (duìbuqǐ)"
"對不起"	"duìbuqǐ"	"1"	"unworthy"	"to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)"	""
"請"	"qǐng"	"1"	"to ask"	"to invite, please (do sth), to treat (to a meal etc), to request"	"請問 (qǐngwèn)"
"請問"	"qǐngwèn"	"1"	"Excuse me, may I ask...?"	""	""
"這"	"zhè"	"1"	"this"	"these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)"	""
"那"	"nà"	"1"	"surname Na"	"surname Nuo, variant of 哪[na3], that, those, then (in that case), commonly pr. [nei4] before a classifier, esp. in Beijing, (archaic) many, beautiful, how, old variant of 挪[nuo2]"	""
"公"	"gong1"	"1"	"public"	"collectively owned, common, international (e.g. high seas, metric system, calendar), make public, fair, just, Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], honorable (gentlemen), father-in-law, male (animal)"	"公共汽車 (gōnggòngqìchē)"
"共"	"gòng"	"1"	"common"	"general, to share, together, total, altogether, abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party"	"公共汽車 (gōnggòngqìchē)"
"汽"	"qi4"	"1"	"steam"	"vapor"	"公共汽車 (gōnggòngqìchē)"
"車"	"chē"	"1"	"surname Che"	"car, vehicle, CL:輛|辆[liang4], machine, to shape with a lathe, war chariot (archaic), rook (in Chinese chess), rook (in chess)"	"公共汽車 (gōnggòngqìchē)"
"公共汽車"	"gōnggòngqìchē"	"1"	"bus"	"CL:輛|辆[liang4],班[ban1]"	""
"到"	"dào"	"1"	"to (a place)"	"until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)"	""
"去"	"qù"	"1"	"to go"	"to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)"	""
"回"	"huí"	"1"	"variant of 迴|回[hui2]"	""	""
"坐"	"zuò"	"1"	"surname Zuo"	"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuo4]"	""
"開"	"kāi"	"1"	"to open"	"to start, to turn on, to boil, to write out (a prescription, check, invoice etc), to operate (a vehicle), carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format"	"開車 (kāichē)"
"開車"	"kāichē"	"1"	"to drive a car"	""	""
"錢"	"qián"	"1"	"surname Qian"	"coin, money, CL:筆|笔[bi3], unit of weight, one tenth of a tael 兩|两[liang3]"	""
"多"	"duō"	"1"	"many"	"much, often, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr. [duo2] when it means ""how"""	"多少 (duōshǎo)"
"少"	"shǎo"	"1"	"few"	"less, to lack, to be missing, to stop (doing sth), seldom, young"	"多少 (duōshǎo)"
"多少"	"duōshǎo"	"1"	"number"	"amount, somewhat, how much, how many, which (number), as much as"	""
"給"	"gěi"	"1"	"to"	"for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier), to supply, to provide"	""
"貴"	"guì"	"1"	"expensive"	"noble, precious, (honorific) your"	""
"便"	"biàn"	"1"	"plain"	"informal, suitable, convenient, opportune, to urinate or defecate, equivalent to 就[jiu4]: then, in that case, even if, soon afterwards, see 便宜|便宜[pian2 yi5]"	"便宜 (piányi)"
"宜"	"yi2"	"1"	"surname Yi"	"proper, should, suitable, appropriate"	"便宜 (piányi)"
"便宜"	"piányi"	"1"	"convenient"	"cheap, inexpensive, small advantages, to let sb off lightly"	""
"小"	"xiǎo"	"1"	"small"	"tiny, few, young"	""
"難"	"nán"	"1"	"difficult (to...)"	"problem, difficulty, difficult, not good, disaster, distress, to scold"	""
"容"	"róng"	"1"	"surname Rong"	"to hold, to contain, to allow, to tolerate, appearance, look, countenance"	"容易 (róngyì)"
"易"	"yì"	"1"	"surname Yi"	"abbr. for 易經|易经[Yi4 jing1], the Book of Changes, easy, amiable, to change, to exchange"	"容易 (róngyì)"
"容易"	"róngyì"	"1"	"easy"	"likely, liable (to)"	""
"有"	"yǒu"	"1"	"to have"	"there is, there are, to exist, to be"	""
"想"	"xiǎng"	"1"	"to think"	"to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)"	""
"幾"	"jǐ"	"1"	"almost"	"how much, how many, several, a few"	""
"塊"	"kuài"	"1"	"lump (of earth)"	"chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units"	""
"飯"	"fàn"	"1"	"food"	"cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]"	""
"吃"	"chī"	"1"	"variant of 吃[chi1]"	""	""
"也"	"yě"	"1"	"surname Ye"	"also, too, (in Classical Chinese) final particle implying affirmation"	""
"沒"	"méi"	"1"	"(negative prefix for verbs)"	"have not, not, drowned, to end, to die, to inundate"	""
"都"	"dōu"	"1"	"surname Du"	"all, both, entirely, (used for emphasis) even, already, (not) at all, capital city, metropolis"	""
"只"	"zhǐ"	"1"	"classifier for birds and certain animals, one of a pair, some utensils, vessels etc"	""	""
"可是"	"kěshì"	"1"	"but"	"however, (used for emphasis) indeed"	""
"還"	"huán"	"1"	"surname Huan"	"still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else, to pay back, to return"	"還是 (háishì)"
"還是"	"háishì"	"1"	"or"	"still, nevertheless, had better"	""
"了"	"le"	"1"	"(of eyes) bright"	"clear-sighted, to understand clearly, unofficial variant of 瞭[liao4], to watch from a height or distance, to survey"	""
"過"	"guò"	"1"	"surname Guo"	"to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-, (experienced action marker)"	""
"男"	"nán"	"2"	"male"	"Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]"	""
"女"	"nǚ"	"2"	"female"	"woman, daughter, archaic variant of 汝[ru3]"	""
"孩"	"hai2"	"2"	"child"	""	"孩子 (háizi)"
"子"	"zi3 zi5"	"2"	"son"	"child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)"	"孩子 (háizi)"
"孩子"	"háizi"	"2"	"child"	""	""
"姐"	"jie3"	"2"	"older sister"	""	"小姐 (xiǎojiě)"
"小姐"	"xiǎojiě"	"2"	"young lady"	"miss, (slang) prostitute, CL:個|个[ge4],位[wei4]"	""
"先"	"xiān"	"2"	"early"	"prior, former, in advance, first"	"先生 (xiānshēng)"
"先生"	"xiānshēng"	"2"	"Mister (Mr.)"	"teacher, husband, doctor (dialect), CL:位[wei4]"	""
"太"	"tài"	"2"	"highest"	"greatest, too (much), very, extremely"	"太太 (tàitai)"
