"Simplified"	"Traditional"	"Pinyin"	"Level"	"Parent"	"Meaning"
"数"	"數"	"shù"	"2"	"數學"	"to count"
"数学"	"數學"	"shùxué"	"2"	""	"mathematics"
"历"	"歷"	"lì"	"2"	"歷史"	"to experience"
"历史"	"歷史"	"lìshĭ"	"2"	""	"history"
"厅"	"廳"	"tīng"	"2"	"餐廳"	"(reception) hall"
"餐厅"	"餐廳"	"cāntīng"	"2"	""	"dining hall"
"学习"	"學習"	"xuéxí"	"2"	""	"to learn"
"参"	"參"	"sān"	"2"	"參加"	"three (banker's anti-fraud numeral)"
"参加"	"參加"	"cānjiā"	"2"	""	"to participate"
"画"	"畫"	"huà"	"2"	""	"to draw"
"读"	"讀"	"dú"	"2"	""	"comma"
"会"	"會"	"huì"	"2"	""	"can"
"为"	"為"	"wéi"	"2"	"為什麼"	"as (in the capacity of)"
"为什么"	"為什麼"	"wèishénme"	"2"	""	"why?"
"下课"	"下課"	"xiàkè"	"2"	""	"to finish class"
"说话"	"說話"	"shuōhuà"	"2"	""	"to speak"
"试"	"試"	"shì"	"2"	"考試"	"to test"
"考试"	"考試"	"kǎoshì"	"2"	""	"to take an exam"
"气"	"氣"	"qì"	"2"	"天氣"	"gas"
"天气"	"天氣"	"tiānqì"	"2"	""	"weather"
"门"	"門"	"mén"	"2"	""	"gate"
"客厅"	"客廳"	"kètīng"	"2"	""	"drawing room (room for arriving guests)"
"风"	"風"	"fēng"	"2"	""	"wind"
"鱼"	"魚"	"yú"	"2"	""	"fish"
"树"	"樹"	"shù"	"2"	""	"tree"
"热"	"熱"	"rè"	"2"	""	"to warm up"
"睡觉"	"睡覺"	"shuìjiào"	"2"	""	"to go to bed"
"音乐"	"音樂"	"yīnyuè"	"2"	""	"music"
"运"	"運"	"yùn"	"2"	"運動"	"to move"
"动"	"動"	"dòng"	"2"	"運動"	"(of sth) to move"
"运动"	"運動"	"yùndòng"	"2"	""	"to move"
"开始"	"開始"	"kāishǐ"	"2"	""	"to begin"
"绍"	"紹"	"shào"	"2"	"介紹"	"to continue"
"介绍"	"介紹"	"jièshào"	"2"	""	"to introduce (sb to sb)"
"换"	"換"	"huàn"	"2"	""	"to exchange"
"认"	"認"	"rèn"	"2"	"認識"	"to recognize"
"识"	"識"	"shí"	"2"	"認識"	"to know"
"认识"	"認識"	"rènshi"	"2"	""	"to know"
"关"	"關"	"guān"	"2"	"沒關係"	"mountain pass"
"系"	"係, 繫"	"xì, jì"	"2, 7"	"沒關係, 聯繫"	"to connect"
"没关系"	"沒關係"	"méiguānxi"	"2"	""	"it doesn't matter"
"怎么"	"怎麼"	"zěnme"	"2"	""	"how?"
"里"	"裡, 裏"	"lĭtou, lǐ"	"2, 5"	"哪裡, 裏面"	"lining"
"哪里"	"哪裡"	"nǎlǐ"	"2"	""	"where?"
"这里"	"這裡, 這裏"	"zhèlǐ, zhèlĭ"	"2, 5"	""	"here"
"那里"	"那裡"	"nàlǐ"	"2"	""	"there"
"边"	"邊"	"biān"	"2"	"右邊"	"side"
"右边"	"右邊"	"yòubiān"	"2"	""	"right side"
"左边"	"左邊"	"zuǒbiān"	"2"	""	"left"
"旁边"	"旁邊"	"pángbiān"	"2"	""	"lateral"
"间"	"間"	"jiān"	"2"	"中間"	"between"
"中间"	"中間"	"zhōngjiān"	"2"	""	"between"
"铁"	"鐵"	"tiě"	"2"	"地鐵"	"iron (metal)"
"地铁"	"地鐵"	"dìtiě"	"2"	""	"subway"
"离"	"離"	"lí"	"2"	""	"to leave"
"带"	"帶"	"dài"	"2"	""	"band"
"进"	"進"	"jìn"	"2"	"進來"	"to go forward"
"进来"	"進來"	"jìnlái"	"2"	""	"to come in"
"远"	"遠"	"yuǎn"	"2"	""	"far"
"体"	"體"	"tǐ"	"2"	"身體"	"body"
"身体"	"身體"	"shēntǐ"	"2"	""	"the body"
"药"	"藥"	"yào"	"2"	""	"medicine"
"双"	"雙"	"shuāng"	"2"	""	"two"
"裤"	"褲"	"kù"	"2"	"褲子"	"underpants"
"裤子"	"褲子"	"kùzi"	"2"	""	"trousers"
"场"	"場"	"chăng"	"2"	"市場"	"threshing floor"
"市场"	"市場"	"shìchǎng"	"2"	""	"marketplace"
"长"	"長"	"cháng"	"2"	""	"length"
"一样"	"一樣"	"yīyàng"	"2"	""	"same"
"𬞟"	"蘋"	"píng"	"2"	"蘋果"	"apple"
"苹果"	"蘋果"	"píngguǒ"	"2"	""	"apple"
"因为"	"因為"	"yīnwèi"	"2"	""	"because"
"园"	"園"	"yuán"	"3"	"公園"	"land used for growing plants"
"公园"	"公園"	"gōngyuán"	"3"	""	"park (for public recreation)"
"国家"	"國家"	"guójiā"	"3"	""	"country"
"邮"	"郵"	"yóu"	"3"	"電子郵件"	"post (office)"
"电子邮件"	"電子郵件"	"diàn​zǐ​yóu​jiàn"	"3"	""	"email"
"结"	"結"	"jié"	"3"	"結婚"	"(of a plant) to produce (fruit or seeds)"
"结婚"	"結婚"	"jiéhūn"	"3"	""	"to marry"
"小时"	"小時"	"xiǎoshí"	"3"	""	"hour"
"钟"	"鐘"	"zhōng"	"3"	"點鐘"	"clock"
"点钟"	"點鐘"	"diǎnzhōng"	"3"	""	"(indicating time of day) o'clock"
"分钟"	"分鐘"	"fēnzhōng"	"3"	""	"minute"
"轻"	"輕"	"qīng"	"3"	"年輕"	"light"
"年轻"	"年輕"	"niánqīng"	"3"	""	"young"
"紧"	"緊"	"jǐn"	"3"	"緊張"	"tight"
"紧张"	"緊張"	"jǐnzhāng"	"3"	""	"nervous"
"可爱"	"可愛"	"kěài"	"3"	""	"adorable"
"万"	"萬"	"wàn"	"3"	""	"ten thousand"
"办"	"辦"	"bàn"	"3"	"辦公室"	"to do"
"办公室"	"辦公室"	"bàngōngshì"	"3"	""	"office"
"厂"	"廠"	"chǎng"	"3"	"工廠"	"factory"
"工厂"	"工廠"	"gōngchăng"	"3"	""	"factory"
"护"	"護"	"hù"	"3"	"護士"	"to protect"
"护士"	"護士"	"hùshì"	"3"	""	"nurse"
"司机"	"司機"	"sījī"	"3"	""	"chauffeur"
"板"	"闆"	"bǎn"	"3"	"老闆"	"to catch sight of in a doorway (old)"
"老板"	"老闆"	"lǎobǎn"	"3"	""	"Robam (brand)"
"小学"	"小學"	"xiǎoxué"	"3"	""	"elementary school"
"上学"	"上學"	"shàngxué"	"3"	""	"to go to school"
"业"	"業"	"yè"	"3"	"作業"	"line of business"
"作业"	"作業"	"zuòyè"	"3"	""	"school assignment"
"功课"	"功課"	"gōngkè"	"3"	""	"homework"
"请假"	"請假"	"qǐngjià"	"3"	""	"to request leave of absence"
"洗手间"	"洗手間"	"xǐshǒujiān"	"3"	""	"toilet"
"语"	"語"	"yǔ"	"3"	"語言"	"dialect"
"语言"	"語言"	"yǔyán"	"3"	""	"language"
"科学"	"科學"	"kēxué"	"3"	""	"science"
"华"	"華"	"huá"	"3"	"華語"	"Mt Hua 華山|华山 in Shaanxi"
"华语"	"華語"	"huáyǔ"	"3"	""	"Chinese language"
"课本"	"課本"	"kèběn"	"3"	""	"textbook"
"读书"	"讀書"	"dúshū"	"3"	""	"to read a book"
"决"	"決"	"jué"	"3"	"決定"	"to decide"
"决定"	"決定"	"juédìng"	"3"	""	"to decide (to do something)"
"图片"	"圖片"	"túpiàn"	"3"	""	"image"
"记"	"記"	"jì"	"3"	"記得"	"to record"
"记得"	"記得"	"jìde"	"3"	""	"to remember"
"房间"	"房間"	"fángjiān"	"3"	""	"room"
"厨"	"廚"	"chú"	"3"	"廚房"	"kitchen"
"厨房"	"廚房"	"chúfáng"	"3"	""	"kitchen"
"楼"	"樓"	"lóu"	"3"	""	"house with more than 1 story"
"楼上"	"樓上"	"lóushàng"	"3"	""	"upstairs"
"楼下"	"樓下"	"lóuxià"	"3"	""	"downstairs"
"电梯"	"電梯"	"diàntī"	"3"	""	"elevator"
"发"	"發, 髮"	"fā, fà"	"3"	"沙發, 頭髮"	"to send out"
"沙发"	"沙發"	"shāfā"	"3"	""	"sofa (loanword)"
"冷气"	"冷氣"	"lěngqì"	"3"	""	"air conditioning (Tw)"
"静"	"靜"	"jìng"	"3"	"安靜"	"still"
"安静"	"安靜"	"ānjìng"	"3"	""	"quiet"
"错"	"錯"	"cuò"	"3"	"不錯"	"mistake"
"不错"	"不錯"	"bùcuò"	"3"	""	"correct"
"海边"	"海邊"	"hǎibiān"	"3"	""	"coast"
"马"	"馬"	"mǎ"	"3"	""	"horse"
"鸟"	"鳥"	"niǎo"	"3"	""	"penis"
"猫"	"貓"	"māo"	"3"	""	"cat"
"鸡"	"雞"	"jī"	"3"	""	"fowl"
"阳"	"陽"	"yáng"	"3"	"太陽"	"positive (electric.)"
"太阳"	"太陽"	"tàiyáng"	"3"	""	"sun"
"篮"	"籃"	"lán"	"3"	"籃球"	"basket (receptacle)"
"篮球"	"籃球"	"lánqiú"	"3"	""	"basketball"
"网"	"網"	"wăng"	"3"	"網球"	"net"
"网球"	"網球"	"wǎngqiú"	"3"	""	"tennis"
"赛"	"賽"	"sài"	"3"	"比賽"	"to compete"
"比赛"	"比賽"	"bǐsài"	"3"	""	"competition (sports etc)"
"骑"	"騎"	"qí"	"3"	""	"(Taiwan) saddle horse"
"脚"	"腳"	"jiǎo"	"3"	"腳踏車"	"foot"
"脚踏车"	"腳踏車"	"jiǎotàchē"	"3"	""	"bicycle"
"电影院"	"電影院"	"diànyǐngyuàn"	"3"	""	"cinema"
"上网"	"上網"	"shàngwǎng"	"3"	""	"to go online"
"输"	"輸"	"shū"	"3"	""	"to lose"
"赢"	"贏"	"yíng"	"3"	""	"to beat"
"有时候"	"有時候"	"yǒushíhou"	"3"	""	"sometimes"
"报"	"報"	"bào"	"3"	"報紙"	"to announce"
"报纸"	"報紙"	"bàozhǐ"	"3"	""	"newspaper"
"不客气"	"不客氣"	"bùkèqì"	"3"	""	"you're welcome"
"礼"	"禮"	"lĭ"	"3"	"禮物"	"gift"
"礼物"	"禮物"	"lǐwù"	"3"	""	"gift"
"欢迎"	"歡迎"	"huānyíng"	"3"	""	"to welcome"
"晚会"	"晚會"	"wǎnhuì"	"3"	""	"evening party"
"邮局"	"郵局"	"yóujú"	"3"	""	"post office"
"银"	"銀"	"yín"	"3"	"銀行"	"silver"
"银行"	"銀行"	"yínháng"	"3"	""	"bank"
"坏"	"壞"	"huài"	"3"	""	"bad"
"帮"	"幫"	"bāng"	"3"	"幫忙"	"to help"
"帮忙"	"幫忙"	"bāngmáng"	"3"	""	"to help"
"计"	"計"	"jì"	"3"	"計程車"	"to calculate"
"计程车"	"計程車"	"jìchéngchē"	"3"	""	"taxi"
"车站"	"車站"	"chēzhàn"	"3"	""	"rail station"
"火车"	"火車"	"huǒchē"	"3"	""	"train"
"飞"	"飛"	"fēi"	"3"	"飛機"	"to fly"
"飞机"	"飛機"	"fēijī"	"3"	""	"airplane"
"飞机场"	"飛機場"	"fēijīchǎng"	"3"	""	"airport"
"马路"	"馬路"	"mǎlù"	"3"	""	"street"
"对面"	"對面"	"duìmiàn"	"3"	""	"(sitting) opposite"
"里面"	"裡面"	"lǐmiàn"	"3"	""	"inside"
"饭店"	"飯店"	"fàndiàn"	"3"	""	"restaurant"
"旅馆"	"旅館"	"lǚguǎn"	"3"	""	"hotel"
"观"	"觀"	"guàn"	"3"	"參觀"	"to look at"
"参观"	"參觀"	"cānguān"	"3"	""	"to look around"
"地图"	"地圖"	"dìtú"	"3"	""	"map"
"照相机"	"照相機"	"zhàoxiàngjī"	"3"	""	"camera"
"风景"	"風景"	"fēngjǐng"	"3"	""	"scenery"
"头"	"頭"	"tóu"	"3"	""	"head"
"头发"	"頭髮"	"tóufǎ"	"3"	""	"hair (on the head)"
"伤"	"傷"	"shāng"	"3"	"受傷"	"to injure"
"受伤"	"受傷"	"shòushāng"	"3"	""	"to sustain injuries"
"饿"	"餓"	"è"	"3"	""	"to be hungry"
"镜"	"鏡"	"jìng"	"3"	"眼鏡"	"mirror"
"眼镜"	"眼鏡"	"yǎnjìng"	"3"	""	"spectacles"
"颜"	"顏"	"yán"	"3"	"顏色"	"color"
"颜色"	"顏色"	"yánsè"	"3"	""	"color"
"黄"	"黃"	"huáng"	"3"	"黃色"	"yellow"
"黄色"	"黃色"	"huángsè"	"3"	""	"yellow (color)"
"袜"	"襪"	"wà"	"3"	"襪子"	"socks"
"袜子"	"襪子"	"wàzi"	"3"	""	"socks"
"饺"	"餃"	"jiǎo"	"3"	"餃子"	"dumplings with meat filling"
"饺子"	"餃子"	"jiǎozi"	"3"	""	"dumpling"
"面"	"麵"	"miàn"	"3"	""	"flour"
"汤"	"湯"	"tāng"	"3"	""	"rushing current"
"面包"	"麵包"	"miànbāo"	"3"	""	"bread"
"饮"	"飲"	"yĭn"	"3"	"飲料"	"to drink"
"饮料"	"飲料"	"yǐnliào"	"3"	""	"drink"
"单"	"單"	"dān"	"3"	"菜單"	"bill"
"菜单"	"菜單"	"càidān"	"3"	""	"menu"
"盘"	"盤"	"pán"	"3"	"盤子"	"plate"
"盘子"	"盤子"	"pánzi"	"3"	""	"tray"
"传"	"傳"	"chuán"	"4"	"傳真"	"to pass on"
"传真"	"傳真"	"chuánzhēn"	"4"	""	"fax"
"时间"	"時間"	"shíjiān"	"4"	""	"time"
"钟头"	"鐘頭"	"zhōngtóu"	"4"	""	"hour"
"礼拜"	"禮拜"	"lǐbài"	"4"	""	"week"
"礼拜天"	"禮拜天"	"lǐbàitiān"	"4"	""	"Sunday"
"后天"	"後天"	"hòutiān"	"4"	""	"the day after tomorrow"
"从前"	"從前"	"cóngqián"	"4"	""	"previously"
"一会儿"	"一會兒"	"yīhuǐér"	"4"	""	"a moment"
"刚"	"剛"	"gāng"	"4"	"剛剛"	"hard"
"刚刚"	"剛剛"	"gānggāng"	"4"	""	"just recently"
"刚才"	"剛才"	"gāngcái"	"4"	""	"just now"
"当"	"當"	"dāng"	"4"	"當然"	"to be"
"当然"	"當然"	"dāngrán"	"4"	""	"only natural"
"别"	"別"	"bié"	"4"	"別人"	"to leave"
"别人"	"別人"	"biérén"	"4"	""	"other people"
"纪"	"紀"	"jǐ"	"4"	"年紀"	"also pr. [Ji4]"
"年纪"	"年紀"	"niánjì"	"4"	""	"age"
"惯"	"慣"	"guàn"	"4"	"習慣"	"accustomed to"
"习惯"	"習慣"	"xíguàn"	"4"	""	"habit"
"亲"	"親"	"qīn"	"4"	"父親"	"parent"
"父亲"	"父親"	"fùqīn"	"4"	""	"father"
"母亲"	"母親"	"mǔqīn"	"4"	""	"mother"
"爷"	"爺"	"yé"	"4"	"爺爺"	"grandpa"
"爷爷"	"爺爺"	"yéye"	"4"	""	"(coll.) father's father"
"关系"	"關係"	"guānxì"	"4"	""	"relation"
"开心"	"開心"	"kāixīn"	"4"	""	"to feel happy"
"着急"	"著急"	"zhāojí"	"4"	""	"to worry"
"担"	"擔"	"dān"	"4"	"擔心"	"to undertake"
"担心"	"擔心"	"dānxīn"	"4"	""	"anxious"
"生气"	"生氣"	"shēngqì"	"4"	""	"to get angry"
"难过"	"難過"	"nánguò"	"4"	""	"to feel sad"
"伤心"	"傷心"	"shāngxīn"	"4"	""	"to grieve"
"丽"	"麗"	"lí"	"4"	"美麗"	"Korea"
"美丽"	"美麗"	"měilì"	"4"	""	"beautiful"
"聪"	"聰"	"cōng"	"4"	"聰明"	"quick at hearing"
"聪明"	"聰明"	"cōngmíng"	"4"	""	"intelligent"
"认真"	"認真"	"rènzhēn"	"4"	""	"conscientious"
"礼貌"	"禮貌"	"lĭmào"	"4"	""	"courtesy"
"应"	"應"	"yìng"	"4"	"應該"	"to agree (to do sth)"
"该"	"該"	"gāi"	"4"	"應該"	"should"
"应该"	"應該"	"yīnggāi"	"4"	""	"ought to"
"经"	"經"	"jīng"	"4"	"經驗"	"classics"
"验"	"驗"	"yàn"	"4"	"經驗"	"to examine"
"经验"	"經驗"	"jīngyàn"	"4"	""	"experience"
"关心"	"關心"	"guānxīn"	"4"	""	"to be concerned about"
"愿"	"願"	"yuàn"	"4"	"願意"	"to hope"
"愿意"	"願意"	"yuànyì"	"4"	""	"to wish"
"怜"	"憐"	"lián"	"4"	"可憐"	"to pity"
"可怜"	"可憐"	"kělián"	"4"	""	"pitiful"
"职"	"職"	"zhí"	"4"	"職業"	"office"
"职业"	"職業"	"zhíyè"	"4"	""	"occupation"
"教师"	"教師"	"jiàoshī"	"4"	""	"teacher"
"经理"	"經理"	"jīnglǐ"	"4"	""	"manager"
"记者"	"記者"	"jìzhě"	"4"	""	"reporter"
"务"	"務"	"wù"	"4"	"服務員"	"affair"
"员"	"員"	"yuán"	"4"	"服務員"	"person"
"服务员"	"服務員"	"fú​wù​yuán"	"4"	""	"waiter"
"顾"	"顧"	"gù"	"4"	"顧客"	"to look after"
"顾客"	"顧客"	"gùkè"	"4"	""	"client"
"教书"	"教書"	"jiāoshū"	"4"	""	"to teach (in a school)"
"开会"	"開會"	"kāihuì"	"4"	""	"to hold a meeting"
"险"	"險"	"xiǎn"	"4"	"危險"	"danger"
"危险"	"危險"	"wéixiǎn"	"4"	""	"danger"
"报告"	"報告"	"bàogào"	"4"	""	"to inform"
"机会"	"機會"	"jīhuì"	"4"	""	"opportunity"
"计画"	"計畫"	"jìhuà"	"4"	""	"variant of 計劃|计划[ji4 hua4]"
"学院"	"學院"	"xuéyuàn"	"4"	""	"college"
"小学生"	"小學生"	"xiăoxuéshēng"	"4"	""	"primary school student"
"大学生"	"大學生"	"dàxuéshēng"	"4"	""	"university student"
"同学"	"同學"	"tóngxué"	"4"	""	"to study at the same school"
"校长"	"校長"	"xiàozhǎng"	"4"	""	"(college, university) president"
"毕"	"畢"	"bì"	"4"	"畢業"	"the whole of"
"毕业"	"畢業"	"bìyè"	"4"	""	"graduation"
"开学"	"開學"	"kāixué"	"4"	""	"foundation of a University or College"
"绩"	"績"	"jì"	"4"	"成績"	"to spin (hemp etc)"
"成绩"	"成績"	"chéngjī"	"4"	""	"achievement"
"学期"	"學期"	"xuéqí"	"4"	""	"term"
"费"	"費"	"fèi"	"4"	"學費"	"to cost"
"学费"	"學費"	"xuéfèi"	"4"	""	"tuition fee"
"服务"	"服務"	"fúwù"	"4"	""	"to serve"
"操场"	"操場"	"cāochăng"	"4"	""	"playground"
"校园"	"校園"	"xiàoyuán"	"4"	""	"campus"
"语法"	"語法"	"yǔfǎ"	"4"	""	"grammar"
"汉"	"漢"	"hàn"	"4"	"漢語"	"Han ethnic group"
"汉语"	"漢語"	"hànyǔ"	"4"	""	"Chinese language"
"书法"	"書法"	"shūfă"	"4"	""	"calligraphy"
"书桌"	"書桌"	"shūzhuō"	"4"	""	"desk"
"汉字"	"漢字"	"hànzì"	"4"	""	"Chinese character"
"铅"	"鉛"	"qiān"	"4"	"鉛筆"	"lead (chemistry)"
"铅笔"	"鉛筆"	"qiānbǐ"	"4"	""	"(lead) pencil"
"毛笔"	"毛筆"	"máobĭ"	"4"	""	"writing brush"
"讲"	"講"	"jiǎng"	"4"	""	"to speak"
"讲话"	"講話"	"jiǎnghuà"	"4"	""	"a speech"
"诉"	"訴"	"sù"	"4"	"告訴"	"to complain"
"告诉"	"告訴"	"gàosù"	"4"	""	"to press charges"
"讨"	"討"	"tăo"	"4"	"討論"	"to invite"
"论"	"論"	"lùn"	"4"	"討論"	"opinion"
"讨论"	"討論"	"tǎolùn"	"4"	""	"to discuss"
"认为"	"認為"	"rènwéi"	"4"	""	"to believe"
"释"	"釋"	"shì"	"4"	"解釋"	"to explain"
"解释"	"解釋"	"jiěshì"	"4"	""	"explanation"
"无"	"無"	"wú"	"4"	"無聊"	"not to have"
"无聊"	"無聊"	"wúliáo"	"4"	""	"bored"
"办法"	"辦法"	"bànfǎ"	"4"	""	"means"
"进步"	"進步"	"jìnbù"	"4"	""	"progress"
"大楼"	"大樓"	"dàlóu"	"4"	""	"building (a relatively large, multi-storey one)"
"卧"	"臥"	"wò"	"4"	"臥室"	"to lie"
"卧室"	"臥室"	"wòshì"	"4"	""	"bedroom"
"花园"	"花園"	"huāyuán"	"4"	""	"garden"
"门口"	"門口"	"ménkǒu"	"4"	""	"doorway"
"楼梯"	"樓梯"	"lóutī"	"4"	""	"stair"
"墙"	"牆"	"qiáng"	"4"	""	"wall"
"洗衣机"	"洗衣機"	"xǐyījī"	"4"	""	"washer"
"灯"	"燈"	"dēng"	"4"	""	"lamp"
"打开"	"打開"	"dǎkāi"	"4"	""	"to open"
"邻"	"鄰"	"lín"	"4"	"鄰居"	"neighbor"
"邻居"	"鄰居"	"línjū"	"4"	""	"neighbor"
