"Pinyin","AllWords","Definitions"
"zuò","做, 坐","做 to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance
坐 to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, surname Zuo, variant of 座[zuo4]"
"zàijiàn","再見","再見 goodbye, see you again later"
"zěnmeyàng","怎麼樣","怎麼樣 how?, how about?, how was it?, how are things?"
"jiào","叫","叫 to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood), variant of 叫[jiao4]"
"xièxie","謝謝","謝謝 to thank, thanks, thank you"
"duìbuqǐ","對不起","對不起 unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)"
"qǐngwèn","請問","請問 Excuse me, may I ask...?"
"zhè","這","這 this, these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
"nà","那","那 that, those, then (in that case), commonly pr. [nei4] before a classifier, esp. in Beijing, beautiful, how, surname Na, surname Nuo, variant of 哪[na3], (archaic) many, old variant of 挪[nuo2]"
"gōnggòngqìchē","公共汽車","公共汽車 bus, CL:輛|辆[liang4],班[ban1]"
"dào","到","到 to (a place), until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)"
"qù","去","去 to go, to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)"
"huí","回","回 to circle, to go back, to turn around, to answer, to return, to revolve, Hui ethnic group (Chinese Muslims), time, classifier for acts of a play, section or chapter (of a classic book), to curve, to return, to revolve, variant of 迴|回[hui2]"
"kāichē","開車","開車 to drive a car"
"qián","錢","錢 coin, money, unit of weight, one tenth of a tael 兩|两[liang3], surname Qian, CL:筆|笔[bi3]"
"duōshǎo","多少","多少 number, amount, somewhat, how much, how many, which (number), as much as"
"gěi","給","給 to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier), to supply, to provide"
"guì","貴, 跪","貴 expensive, noble, precious, (honorific) your
跪 to kneel"
"piányi","便宜","便宜 convenient, cheap, inexpensive, small advantages, to let sb off lightly"
"xiǎo","小","小 small, tiny, few, young"
"nán","難, 男, 南","難 difficult (to...), problem, difficulty, difficult, not good, disaster, distress, to scold
男 male, Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]
南 south, surname Nan"
"róngyì","容易","容易 easy, likely, liable (to)"
"yǒu","有","有 to have, there is, there are, to exist, to be"
"xiǎng","想","想 to think, to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)"
"jǐ","幾, 擠","幾 almost, how much, how many, several, a few
擠 to crowd in, to cram in, to force others aside, to press, to squeeze, to find (time in one's busy schedule)"
"kuài","塊","塊 lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units"
"fàn","飯, 犯","飯 food, cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]
犯 to violate, to offend, to assault, criminal, crime, to make a mistake, recurrence (of mistake or sth bad)"
"chī","吃","吃 to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer, to stammer (Taiwan pr. for this sense is [ji2]), variant of 吃[chi1]"
"yě","也","也 also, too, (in Classical Chinese) final particle implying affirmation, surname Ye"
"méi","沒, 煤, 枚","沒 (negative prefix for verbs), have not, not, drowned, to end, to die, to inundate
煤 coal, CL:塊|块[kuai4]
枚 classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc, tree trunk, whip, wooden peg, used as a gag for marching soldiers (old), surname Mei"
"dōu","都","都 all, both, entirely, (used for emphasis) even, already, (not) at all, capital city, metropolis, surname Du"
"zhǐ","只, 紙","只 only, merely, just, but, grain that has begun to ripen, classifier for birds and certain animals, one of a pair, some utensils, vessels etc, variant of 只[zhi3], variant of 衹|只[zhi3], variant of 只[zhi3]
紙 paper, classifier for documents, letter etc, CL:張|张[zhang1],沓[da2]"
"kěshì","可是","可是 but, however, (used for emphasis) indeed"
"háishì","還是","還是 or, still, nevertheless, had better"
"le","了","了 (modal particle intensifying preceding clause), (completed action marker), to finish, to achieve, to understand clearly, (of eyes) bright, clear-sighted, to understand clearly, variant of 瞭|了[liao3], unofficial variant of 瞭[liao4]"
"guò","過","過 to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-, (experienced action marker), surname Guo"
"nǚ","女","女 female, woman, daughter, archaic variant of 汝[ru3]"
"háizi","孩子","孩子 child"
"xiǎojiě","小姐","小姐 young lady, miss, (slang) prostitute, CL:個|个[ge4],位[wei4]"
"xiānshēng","先生","先生 Mister (Mr.), teacher, husband, doctor (dialect), CL:位[wei4]"
"tàitai","太太","太太 married woman, Mrs., Madam, wife, CL:個|个[ge4],位[wei4]"
"nǚér","女兒","女兒 daughter"
"érzi","兒子","兒子 son"
"dàjiā","大家","大家 everyone, influential family, great expert"
"lù","路","路 road, journey, route, line (bus etc), sort, kind, surname Lu, CL:條|条[tiao2]"
"shǒujī","手機","手機 cell phone, mobile phone, CL:部[bu4],支[zhi1]"
"hàomǎ","號碼","號碼 number, CL:堆[dui1],個|个[ge4]"
"míngnián","明年","明年 next year"
"qùnián","去年","去年 last year"
"shēngrì","生日","生日 birthday, CL:個|个[ge4]"
"yuè","月, 越","月 moon, month, monthly, CL:個|个[ge4],輪|轮[lun2]
越 generic word for peoples or states of south China or south Asia at different historical periods, to exceed, to climb over, to surpass, the more... the more, abbr. for Vietnam 越南"
"xīngqí","星期","星期 week, day of the week, Sunday, CL:個|个[ge4]"
"xīngqítiān","星期天","星期天 Sunday, CL:個|个[ge4]"
"zhōumò","週末","週末 weekend"
"cóng","從","從 from, through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor, surname Cong"
"xiào","笑","笑 laugh, smile, old variant of 笑[xiao4], CL:個|个[ge4]"
"ài","愛","愛 to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)"
"hǎokàn","好看","好看 good-looking, nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated"
"kuàilè","快樂","快樂 happy, merry"
"fēicháng","非常","非常 very, very much, unusual, extraordinary"
"gōngzuò","工作","工作 to work, (of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]"
"yīshēng","醫生","醫生 doctor, CL:個|个[ge4],位[wei4],名[ming2]"
"yīyuàn","醫院","醫院 hospital, CL:所[suo3],家[jia1],座[zuo4]"
"gōngsī","公司","公司 (business) company, company, firm, corporation, incorporated, CL:家[jia1]"
"mài","賣, 邁","賣 to sell, to betray, to spare no effort, to show off or flaunt
邁 to take a step, to stride"
"zhǔnbèi","準備","準備 preparation, to prepare, to intend, to be about to, reserve (fund)"
"yīdiǎn","一點","一點 a bit, a little, one dot, one point"
"yīxiē","一些","一些 some, a few, a little, (following an adjective) slightly ...er"
"zhāng","張","張 to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes, surname Zhang"
"zhōngxué","中學","中學 middle school, CL:個|个[ge4]"
"niánjí","年級","年級 grade, year (in school, college etc), CL:個|个[ge4]"
"yīngwén","英文","英文 English (language)"
"wèntí","問題","問題 question, problem, issue, topic, CL:個|个[ge4]"
"yìsi","意思","意思 idea, opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, to give as a small token, to do sth as a gesture of goodwill etc, CL:個|个[ge4]"
"túshūguǎn","圖書館","圖書館 library, CL:家[jia1],個|个[ge4]"
"shùxué","數學","數學 mathematics, mathematical"
"lìshǐ","歷史","歷史 history, CL:門|门[men2],段[duan4]"
"cāntīng","餐廳","餐廳 dining hall, dining room, restaurant, CL:間|间[jian1],家[jia1]"
"xuéxí","學習","學習 to learn, to study"
"cānjiā","參加","參加 to participate, to take part, to join"
"huà","畫","畫 to draw, picture, painting, classifier for paintings etc, CL:幅[fu2],張|张[zhang1], variant of 劃|划[hua4]"
"dú","讀","讀 comma, phrase marked by pause, to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
"huì","會","會 can, to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, a moment (Taiwan pr. for this sense is [hui3]), to balance an account, accountancy, accounting, CL:個|个[ge4]"
"yǒuqù","有趣","有趣 interesting, fascinating, amusing"
"wèishénme","為什麼","為什麼 why?, for what reason?"
"xiàkè","下課","下課 to finish class, to get out of class"
"shuōhuà","說話","說話 to speak, to say, to talk, to gossip, to tell stories, talk, word"
"kǎoshì","考試","考試 to take an exam, exam, CL:次[ci4]"
"dǒng","懂","懂 to understand, to comprehend"
"tiānqì","天氣","天氣 weather"
"fángzi","房子","房子 house, building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]"
"mén","門","門 gate, door, gateway, doorway, opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate), surname Men, CL:扇[shan4], CL:個|个[ge4]"
"shān","山","山 mountain, hill, anything that resembles a mountain, bundled straw in which silkworms spin cocoons, gable, surname Shan, CL:座[zuo4]"
"kètīng","客廳","客廳 drawing room (room for arriving guests), living room, CL:間|间[jian1]"
"hé","河, 和","河 river, CL:條|条[tiao2],道[dao4]
和 Japanese (food, clothes etc), and, together with, with, sum, union, peace, harmony, Taiwan pr. [han4] when it means ""and"" or ""with"", to compose a poem in reply (to sb's poem) using the same rhyme sequence, to join in the singing, to chime in with others, to complete a set in mahjong or playing cards, to combine a powdery substance (flour, plaster etc) with water, Taiwan pr. [huo4], to mix (ingredients) together, to blend, classifier for rinses of clothes, classifier for boilings of medicinal herbs, harmonious, old variant of 和[he2], surname He, old variant of 和[he2]"
"gǒu","狗","狗 dog, CL:隻|只[zhi1],條|条[tiao2]"
"huā","花","花 flower, blossom, fancy pattern, florid, to spend (money, time), flower, blossom, also pr. [wei3], surname Hua, CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4], old variant of 花[hua1], variant of 花[hua1]"
"fēng","風, 瘋","風 wind, news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]
瘋 insane, mad, wild"
"hǎi","海","海 ocean, sea, great number of people or things, (dialect) numerous, surname Hai, CL:個|个[ge4],片[pian4]"
"yú","魚, 于, 逾","魚 fish, surname Yu, CL:條|条[tiao2],尾[wei3]
于 to go, to take, sentence-final interrogative particle, in, at, to, from, by, than, out of, surname Yu, variant of 於|于[yu2]
逾 to exceed, to go beyond, to transcend, to cross over, to jump over, variant of 逾[yu2]"
"shù","樹","樹 tree, to cultivate, to set up, CL:棵[ke1]"
"lěng","冷","冷 cold, surname Leng"
"rè","熱","熱 to warm up, to heat up, hot (of weather), heat, fervent"
"xǐzǎo","洗澡","洗澡 to bathe, to take a shower"
"kāfēi","咖啡","咖啡 coffee (loanword), CL:杯[bei1]"
"chá","茶","茶 tea, tea plant, CL:杯[bei1],壺|壶[hu2]"
"shēnghuó","生活","生活 life, activity, to live, livelihood"
"yòng","用","用 to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore"
"chuān","穿","穿 to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread"
"qǐchuáng","起床","起床 to get out of bed, to get up"
"fāngbiàn","方便","方便 convenient, suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself"
"shuìjiào","睡覺","睡覺 to go to bed, to sleep"
"chángcháng","常常","常常 frequently, often"
"měi","每","每 each, every"
"cì","次","次 next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time"
"yīnyuè","音樂","音樂 music, CL:張|张[zhang1],曲[qu3],段[duan4]"
"piào","票","票 ticket, ballot, banknote, person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions, CL:張|张[zhang1]"
"zhàopiàn","照片","照片 photograph, picture, CL:張|张[zhang1],套[tao4],幅[fu2]"
"wán","玩, 完","玩 to play, to have fun, to trifle with, toy, sth used for amusement, curio or antique (Taiwan pr. [wan4]), to keep sth for entertainment, Taiwan pr. [wan4], variant of 玩[wan2]
完 to finish, to be over, whole, complete, entire"
"pǎo","跑","跑 (of an animal) to paw (the ground), to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off"
"yùndòng","運動","運動 to move, to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chang3]"
"kāishǐ","開始","開始 to begin, beginning, to start, initial, CL:個|个[ge4]"
"zǒulù","走路","走路 to walk, to go on foot"
"chànggē","唱歌","唱歌 to sing a song"
"xìn","信","信 letter, mail, to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random, CL:封[feng1]"
"wéi","喂","喂 hello (when answering the phone), hey, to feed (an animal, baby, invalid etc), to feed, variant of 餵|喂[wei4]"
"jièshào","介紹","介紹 to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction"
"huàn","換, 患","換 to exchange, to change (clothes etc), to substitute, to switch, to convert (currency)
患 to suffer (from illness), to contract (a disease), misfortune, trouble, danger, worry"
"rènshi","認識","認識 to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition"
"méiguānxi","沒關係","沒關係 it doesn't matter"
"zěnme","怎麼","怎麼 how?, what?, why?"
"nǎ","哪","哪 how, which, (particle equivalent to 啊 after noun ending in -n), which? (interrogative, followed by classifier or numeral-classifier)"
"nǎlǐ","哪裡","哪裡 where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment"
"zhèlǐ","這裡, 這裏","這裡 here
這裏 variant of 這裡|这里[zhe4 li3]"
"nàlǐ","那裡","那裡 there, that place"
"wài","外","外 outside, in addition, foreign, external"
"yòubiān","右邊","右邊 right side, right, to the right"
"zuǒbiān","左邊","左邊 left, the left side, to the left of"
"pángbiān","旁邊","旁邊 lateral, side, to the side, beside"
"zhōngjiān","中間","中間 between, intermediate, mid, middle"
"dìtiě","地鐵","地鐵 subway, metro"
"dìfāng","地方","地方 region, regional (away from the central administration), local, area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]"
"fùjìn","附近","附近 (in the) vicinity, nearby, neighboring, next to"
"lí","離, 梨","離 to leave, to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire, ☲, surname Li
梨 pear, CL:個|个[ge4]"
"wǎng","往","往 to go (in a direction), to, towards, (of a train) bound for, past, previous, old variant of 往[wang3]"
"sòng","送","送 to deliver, to carry, to give (as a present), to present (with), to see off, to send"
"dài","帶, 戴","帶 band, belt, girdle, ribbon, tire, area, zone, region, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise, CL:條|条[tiao2]
戴 to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support, surname Dai"
"fàng","放","放 to put, to place, to release, to free, to let go, to let out, to set off (fireworks)"
"ná","拿","拿 to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object), old variant of 拿[na2], variant of 拿[na2]"
"jìnlái","進來, 近來","進來 to come in
近來 recently, lately"
"chūqù","出去","出去 to go out"
"zhàn","站, 占","站 station, to stand, to halt, to stop, branch of a company or organization, website
占 to observe, to divine, to take possession of, to occupy, to take up, variant of 占[zhan4]"
"màn","慢","慢 slow"
"yuǎn","遠","遠 far, distant, remote, (intensifier in a comparison) by far, much (lower etc), to distance oneself from (classical)"
"shēntǐ","身體","身體 the body, one's health, in person, CL:具[ju4],個|个[ge4]"
"yǎnjīng","眼睛","眼睛 eye, CL:隻|只[zhi1],雙|双[shuang1]"
"yào","藥, 要","藥 medicine, drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), to poison, CL:種|种[zhong3],服[fu4],味[wei4]
要 to demand, to request, to coerce, important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if"
"lèi","累, 淚, 類","累 to accumulate, to involve or implicate (Taiwan pr. [lei4]), continuous, repeated, tired, weary, to strain, to wear out, to work hard, rope, to bind together, to twist around, surname Lei
淚 tears
類 kind, type, class, category, similar, like, to resemble"
"shuāng","雙, 霜","雙 two, double, pair, both, even (number), surname Shuang
霜 frost, white powder or cream spread over a surface, frosting, (skin) cream"
"yuán","元, 圓","元 the Yuan or Mongol dynasty (1279-1368), currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon, surname Yuan
圓 circle, round, circular, spherical, (of the moon) full, unit of Chinese currency (Yuan), tactful, to justify"
"xiézi","鞋子","鞋子 shoe"
"kùzi","褲子","褲子 trousers, pants, CL:條|条[tiao2]"
"shìchǎng","市場","市場 marketplace, market (also in abstract)"
"yīfu","衣服","衣服 clothes, CL:件[jian4],套[tao4]"
"cháng","長, 嚐","長 length, long, forever, always, constantly, chief, head, elder, to grow, to develop, to increase, to enhance
嚐 to taste, to experience, variant of 嘗|尝[chang2]"
"xīn","新","新 new, newly, meso- (chemistry), abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1], surname Xin"
"yīyàng","一樣","一樣 same, like, equal to, the same as, just like"
"hǎochī","好吃","好吃 tasty, delicious, to be fond of eating, to be gluttonous"
"jiàn","件, 箭, 賤, 濺","件 item, component, classifier for events, things, clothes etc
箭 arrow, CL:支[zhi1]
賤 inexpensive, lowly
濺 to splash"
